,rank,loo,p_loo,d_loo,weight,se,dse,warning,loo_scale,LMV,UMV,lithosphere,ice_history,esl_curve,deglacial_rate,true_model
output96Cp310_ICE6G_Wael_S,139,-33.526538620930886,7.676711210490524,9.561049628378925,5.437569306911199e-06,5.195754056042343e-13,0.0,True,log,1e+22,3e+20,96,ICE6G,Wael,S,False
output71Cp35_ICE6G_Wael_S,140,-33.556050207948985,7.549481934388215,9.590561215397024,5.279442766040936e-06,1.6741859296079263e-13,0.0,True,log,5e+21,3e+20,71,ICE6G,Wael,S,False
output71Cp53_Colleoni_Wael_T,141,-33.57189396233647,8.479511430513686,9.606404969784506,5.196455720709591e-06,3.3308929346836877e-13,0.0,True,log,3e+21,5e+20,71,Colleoni,Wael,T,False
output96Cp37_ICE6G_Wael_S,142,-33.603197979418596,7.680190050289703,9.637708986866635,5.036305532119243e-06,3.2773193488264e-13,0.0,True,log,7e+21,3e+20,96,ICE6G,Wael,S,False
output96Cp53_ICE6G_Wael_S,143,-33.603458600248445,7.337881870088573,9.637969607696483,5.034993137018304e-06,2.1404951024594793e-13,0.0,True,log,3e+21,5e+20,96,ICE6G,Wael,S,False
output71Cp510_Colleoni_Wael_T,144,-33.766217441568834,10.122350022780438,9.800728449016873,4.278717528398522e-06,3.561529812496278e-13,0.0,True,log,1e+22,5e+20,71,Colleoni,Wael,T,False
output71Cp57_ICE6G_Wael_S,145,-33.77441592623556,8.161470824159991,9.808926933683601,4.243781933501485e-06,4.556272949694498e-13,0.0,True,log,7e+21,5e+20,71,ICE6G,Wael,S,False
output48Cp530_Lambeck_Wael_T,146,-33.794081546939196,8.343435741495739,9.828592554387235,4.161140587681481e-06,1.780764906248139e-13,0.0,True,log,3e+22,5e+20,48,Lambeck,Wael,T,False
output71Cp37_ICE6G_Wael_S,147,-33.80564078824815,7.856078490535694,9.840151795696187,4.113317889053577e-06,5.195754056042343e-13,0.0,True,log,7e+21,3e+20,71,ICE6G,Wael,S,False
output71Cp330_ICE6G_Wael_S,148,-33.850413905411074,7.542103260282001,9.884924912859113,3.933213821399716e-06,5.111551177769456e-13,0.0,True,log,3e+22,3e+20,71,ICE6G,Wael,S,False
output48Cp510_Lambeck_Wael_T,149,-33.853473904170485,8.108336965030158,9.887984911618524,3.9211965877228175e-06,2.0562372033047675e-13,0.0,True,log,1e+22,5e+20,48,Lambeck,Wael,T,False
output71Cp33_ICE6G_Wael_S,150,-33.87854054705873,7.653126671831018,9.913051554506772,3.82412703965474e-06,6.63921499518766e-13,0.0,True,log,3e+21,3e+20,71,ICE6G,Wael,S,False
output48Cp35_Colleoni_Wael_T,151,-33.885940922990315,8.362153315983257,9.920451930438354,3.795931519354612e-06,3.059725850782531e-13,0.0,True,log,5e+21,3e+20,48,Colleoni,Wael,T,False
output71Cp330_ICE6G_Wael_T,152,-33.89342492242808,7.975530709723461,9.92793592987612,3.7676288108285234e-06,6.505846333883892e-13,0.0,True,log,3e+22,3e+20,71,ICE6G,Wael,T,False
