,lat,lon,rsl,rsl_er_max,rsl_er_min,age,age_er_max,age_er_min,rsl_er,age_er
3338,53.78,-0.75,-8.81,0.21,0.21,6511.0,208.0,207.0,0.21,207.5
3340,55.34,-1.6,-1.09,0.21,0.21,6518.0,147.0,158.0,0.21,152.5
3341,54.57,-1.28,-5.74,0.21,0.21,6518.0,331.0,302.0,0.21,316.5
3344,54.23,-3.02,-1.29,0.21,0.21,6540.0,126.0,133.0,0.21,129.5
3346,54.93,-4.45,5.49,0.21,0.21,6571.0,213.0,221.0,0.21,217.0
3349,53.74,-2.93,-2.33,0.21,0.21,6575.0,205.0,176.0,0.21,190.5
3356,55.26,-4.82,6.07,0.21,0.21,6610.0,168.0,164.0,0.21,166.0
3360,54.63,-1.21,-2.45,0.22,0.22,6637.0,240.0,225.0,0.22,232.5
3367,55.44,-1.59,-2.23,0.5,0.5,6665.0,83.0,118.0,0.5,100.5
3369,53.66,-0.71,-8.98,0.4,0.4,6691.0,152.0,160.0,0.4,156.0
3374,54.93,-3.21,0.43,0.3,0.3,6714.0,537.0,432.0,0.3,484.5
3375,53.58,-0.08,-11.05,0.21,0.21,6721.0,131.0,88.0,0.21,109.5
3379,55.02,-3.63,2.34,0.21,0.21,6736.0,186.0,183.0,0.21,184.5
3384,53.28,-2.78,-2.84,0.21,0.21,6766.0,115.0,95.0,0.21,105.0
3386,53.75,-2.94,-3.38,0.21,0.21,6774.0,121.0,112.0,0.21,116.5
3388,53.31,-3.53,-2.74,0.34,0.34,6781.0,467.0,431.0,0.34,449.0
3389,53.74,-2.93,-2.28,0.21,0.21,6787.0,213.0,226.0,0.21,219.5
3396,54.67,-1.19,-3.41,0.25,0.25,6823.0,337.0,287.0,0.25,312.0
3397,55.44,-1.59,-2.76,0.28,0.28,6824.0,104.0,89.0,0.28,96.5
3398,53.68,-0.53,-8.96,0.21,0.21,6825.0,123.0,147.0,0.21,135.0
3401,54.38,-4.5,1.43,0.5,0.5,6830.0,122.0,152.0,0.5,137.0
3402,54.23,-3.02,-1.33,0.21,0.21,6832.0,170.0,169.0,0.21,169.5
3403,53.68,-0.53,-8.66,0.21,0.21,6841.0,139.0,162.0,0.21,150.5
3404,53.57,-3.17,-1.99,0.21,0.21,6841.0,437.0,442.0,0.21,439.5
3409,54.36,-3.41,0.49,0.26,0.26,6875.0,106.0,120.0,0.26,113.0
3410,53.75,-2.94,-3.8,0.21,0.21,6878.0,278.0,205.0,0.21,241.5
3411,54.23,-3.02,-1.42,0.21,0.21,6880.0,275.0,202.0,0.21,238.5
3415,53.57,-3.03,-3.27,0.21,0.21,6906.0,250.0,166.0,0.21,208.0
3416,53.6,-0.14,-9.68,0.21,0.21,6907.0,249.0,167.0,0.21,208.0
3417,53.57,-3.17,-2.21,0.21,0.21,6910.0,250.0,180.0,0.21,215.0
3418,54.68,-1.2,-4.68,0.25,0.25,6912.0,250.0,233.0,0.25,241.5
3422,54.98,-3.37,3.44,0.21,0.21,6958.0,455.0,452.0,0.21,453.5
3424,54.38,-4.5,1.57,0.5,0.5,6964.0,195.0,169.0,0.5,182.0
3428,54.94,-4.42,4.66,0.21,0.21,6980.0,186.0,190.0,0.21,188.0
3430,53.15,0.32,-9.34,0.21,0.21,7001.0,165.0,201.0,0.21,183.0
3433,53.6,-0.14,-9.57,0.21,0.21,7030.0,213.0,230.0,0.21,221.5
3434,53.62,0.06,-10.03,0.21,0.21,7039.0,200.0,232.0,0.21,216.0
3436,54.57,-1.28,-5.62,0.21,0.21,7061.0,188.0,174.0,0.21,181.0
3437,54.59,-1.3,-4.54,0.21,0.21,7061.0,188.0,174.0,0.21,181.0
3439,55.26,-4.82,6.38,0.21,0.21,7064.0,210.0,272.0,0.21,241.0
3442,54.38,-4.5,0.97,0.5,0.5,7072.0,174.0,158.0,0.5,166.0
3444,54.67,-1.19,-3.26,0.25,0.25,7074.0,213.0,277.0,0.25,245.0
3445,55.39,-1.62,-1.72,0.22,0.22,7080.0,161.0,132.0,0.22,146.5
3448,53.57,-3.17,-2.49,0.21,0.21,7103.0,305.0,300.0,0.21,302.5
3449,54.94,-4.42,2.53,0.41,0.41,7107.0,469.0,541.0,0.41,505.0
3452,54.31,-3.41,-1.15,0.35,0.35,7128.0,192.0,223.0,0.35,207.5
3455,53.74,-2.93,-2.67,0.21,0.21,7145.0,275.0,259.0,0.21,267.0
3457,53.62,-0.17,-9.86,0.21,0.21,7158.0,251.0,218.0,0.21,234.5
3459,53.74,-2.93,-2.87,0.22,0.22,7178.0,96.0,178.0,0.22,137.0
3465,53.74,-2.93,-3.29,0.21,0.21,7210.0,207.0,209.0,0.21,208.0
3466,55.44,-1.59,-3.14,0.28,0.28,7211.0,64.0,183.0,0.28,123.5
3467,55.69,-1.94,1.49,0.21,0.21,7211.0,201.0,206.0,0.21,203.5
3468,55.26,-4.82,6.85,0.21,0.21,7214.0,93.0,185.0,0.21,139.0
3469,55.44,-1.59,-3.07,0.28,0.28,7219.0,99.0,190.0,0.28,144.5
3474,53.31,-3.76,-3.47,0.21,0.21,7254.0,206.0,289.0,0.21,247.5
3476,54.59,-1.3,-6.08,0.22,0.22,7279.0,156.0,268.0,0.22,212.0
3479,53.56,-3.01,-3.66,0.22,0.22,7297.0,627.0,639.0,0.22,633.0
3484,54.98,-3.38,3.24,0.23,0.23,7337.0,585.0,603.0,0.23,594.0
3485,53.29,-2.79,-5.85,0.51,0.51,7346.0,79.0,84.0,0.51,81.5
3487,53.41,-3.14,-3.46,0.21,0.21,7350.0,89.0,165.0,0.21,127.0
3491,54.93,-4.45,4.86,0.21,0.21,7378.0,182.0,126.0,0.21,154.0
3492,53.47,0.05,-10.26,0.21,0.21,7388.0,98.0,112.0,0.21,105.0
3494,54.74,-3.45,-0.11,0.21,0.21,7401.0,171.0,148.0,0.21,159.5
3495,53.47,0.05,-10.49,0.21,0.21,7401.0,105.0,114.0,0.21,109.5
3496,55.67,-1.87,0.45,0.21,0.21,7409.0,153.0,139.0,0.21,146.0
3500,54.38,-4.5,1.08,0.5,0.5,7417.0,143.0,142.0,0.5,142.5
3501,54.37,-3.43,-0.02,0.26,0.26,7419.0,63.0,99.0,0.26,81.0
3502,54.91,-3.11,1.36,0.21,0.21,7425.0,136.0,132.0,0.21,134.0
